ID, Elapsed, Walltime
002517,33.94, 264 seconds 0.07 hours
001012,33.87, 263 seconds 0.07 hours
005594,33.92, 263 seconds 0.07 hours
003976,33.69, 265 seconds 0.07 hours
000688,33.71, 265 seconds 0.07 hours
003157,33.96, 263 seconds 0.07 hours
004870,33.76, 264 seconds 0.07 hours
000222,34.04, 263 seconds 0.07 hours
004337,33.92, 263 seconds 0.07 hours
000906,33.51, 267 seconds 0.07 hours
004097,34.01, 263 seconds 0.07 hours
000832,33.58, 266 seconds 0.07 hours
004662,33.99, 263 seconds 0.07 hours
006054,34.06, 262 seconds 0.07 hours
000679,33.92, 263 seconds 0.07 hours
005285,33.84, 265 seconds 0.07 hours
001763,33.56, 266 seconds 0.07 hours
005600,33.89, 263 seconds 0.07 hours
006038,33.93, 262 seconds 0.07 hours
000339,33.98, 263 seconds 0.07 hours
000182,34.05, 262 seconds 0.07 hours
000044,33.93, 263 seconds 0.07 hours
002740,33.51, 266 seconds 0.07 hours
002386,33.56, 266 seconds 0.07 hours
003488,34.08, 262 seconds 0.07 hours
000903,33.86, 265 seconds 0.07 hours
000413,33.79, 265 seconds 0.07 hours
000136,33.88, 263 seconds 0.07 hours
001293,34.05, 261 seconds 0.07 hours
000625,33.52, 266 seconds 0.07 hours
003993,33.93, 264 seconds 0.07 hours
005452,33.98, 263 seconds 0.07 hours
005313,33.93, 263 seconds 0.07 hours
006017,33.84, 263 seconds 0.07 hours
004763,33.95, 264 seconds 0.07 hours
004918,33.72, 265 seconds 0.07 hours
006045,33.72, 264 seconds 0.07 hours
004070,33.82, 264 seconds 0.07 hours
001271,33.91, 264 seconds 0.07 hours
004435,33.84, 264 seconds 0.07 hours
003613,33.93, 263 seconds 0.07 hours
001160,34.01, 262 seconds 0.07 hours
004789,33.99, 263 seconds 0.07 hours
001132,33.63, 265 seconds 0.07 hours
004196,33.84, 264 seconds 0.07 hours
003527,33.99, 262 seconds 0.07 hours
002429,34.00, 263 seconds 0.07 hours
001067,33.86, 264 seconds 0.07 hours
000011,34.03, 263 seconds 0.07 hours
000913,33.53, 267 seconds 0.07 hours
004659,33.78, 265 seconds 0.07 hours
005475,33.85, 264 seconds 0.07 hours
000257,34.07, 261 seconds 0.07 hours
001089,33.94, 263 seconds 0.07 hours
003297,33.95, 263 seconds 0.07 hours
001539,34.08, 262 seconds 0.07 hours
003155,33.98, 263 seconds 0.07 hours
003886,33.85, 264 seconds 0.07 hours
002436,33.87, 263 seconds 0.07 hours
